,mean_2014_2019,month,month_day,month_num,data
320,49.0,Nov,16,11,2020-11-16
321,49.0,Nov,17,11,2020-11-17
322,46.0,Nov,18,11,2020-11-18
323,50.0,Nov,19,11,2020-11-19
324,51.0,Nov,20,11,2020-11-20
325,48.0,Nov,21,11,2020-11-21
326,52.0,Nov,22,11,2020-11-22
327,49.0,Nov,23,11,2020-11-23
328,48.0,Nov,24,11,2020-11-24
329,51.0,Nov,25,11,2020-11-25
330,55.0,Nov,26,11,2020-11-26
331,46.0,Nov,27,11,2020-11-27
332,52.0,Nov,28,11,2020-11-28
333,50.0,Nov,29,11,2020-11-29
334,48.0,Nov,30,11,2020-11-30
335,47.0,Dez,01,12,2020-12-01
336,55.0,Dez,02,12,2020-12-02
337,45.0,Dez,03,12,2020-12-03
338,54.0,Dez,04,12,2020-12-04
339,50.0,Dez,05,12,2020-12-05
340,50.0,Dez,06,12,2020-12-06
341,49.0,Dez,07,12,2020-12-07
342,52.0,Dez,08,12,2020-12-08
343,55.0,Dez,09,12,2020-12-09
344,53.0,Dez,10,12,2020-12-10
345,46.0,Dez,11,12,2020-12-11
346,52.0,Dez,12,12,2020-12-12
347,50.0,Dez,13,12,2020-12-13
348,52.0,Dez,14,12,2020-12-14
349,49.0,Dez,15,12,2020-12-15
350,53.0,Dez,16,12,2020-12-16
351,52.0,Dez,17,12,2020-12-17
352,56.0,Dez,18,12,2020-12-18
353,56.0,Dez,19,12,2020-12-19
354,48.0,Dez,20,12,2020-12-20
355,52.0,Dez,21,12,2020-12-21
356,58.0,Dez,22,12,2020-12-22
357,53.0,Dez,23,12,2020-12-23
358,58.0,Dez,24,12,2020-12-24
359,58.0,Dez,25,12,2020-12-25
360,57.0,Dez,26,12,2020-12-26
361,60.0,Dez,27,12,2020-12-27
362,61.0,Dez,28,12,2020-12-28
363,53.0,Dez,29,12,2020-12-29
364,55.0,Dez,30,12,2020-12-30
365,62.0,Dez,31,12,2020-12-31
