,2020,month,month_day,month_num,data
356,,Dez,22,12,2020-12-22
357,,Dez,23,12,2020-12-23
358,,Dez,24,12,2020-12-24
359,,Dez,25,12,2020-12-25
360,,Dez,26,12,2020-12-26
361,,Dez,27,12,2020-12-27
362,,Dez,28,12,2020-12-28
363,,Dez,29,12,2020-12-29
364,,Dez,30,12,2020-12-30
365,,Dez,31,12,2020-12-31
